French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
"En moi, à moi, de moi",Pronom personnel,Niakta,,"Wz8khilain, 1830, p.88",,
Moi-même,Pronom personnel,Niatta,,"Wz8khilain, 1830, p.84",,
Durant la nuit,Adv,Nib8iwi,Adverbe,"Laurent, 1884, p.19",,
Noël,NI,Nib8ïamih8mek,,"Laurent, 1884, p.56",,
Été prochain,VII,Nibega,,"Nolett-Ille, 1996, p. 17",,
Été,VII,Niben,,"Wz8khilain, 1830, p.46",,
Été passé,VII,Nibena,,"Nolett-Ille, 1996, p. 17",,
Sud,NI,Nibenaki,,"Laurent, 1884, p.46",,
Sud,NI,Nibenaki,,"Day, 1994, p.47",,
En été,Adv,Nibeniwi,,"Wz8khilain, 1830, p.53","Nolett-Ille, 1996, p.13",
Ma dent,NDI,Nibid,,"Wz8khilain, 1830, p.48",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Fruit de la viorne trilobée (Pimbina),NI,Nibimen,Nom;Plante;Fruit,"Laurent, 1884, p.62",,
Viorne trilobée (l'arbre),NA,Nibimenakwam,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
Frère ou soeur cadet (plus jeune).,NAD,Nichemis,Nom;Personne,"Laurent, 1884, p.23",,
Mon frère ou ma soeur cadette.,NAD,Nichenis,,"Laurent, 1884, p.92",,
Mon ami,NAD,Nid8ba,,"Nolett-Ille, 1996, p.2",,
Mon petit-ami,NAD,Nid8basis,,,,
Amie,NAD,Nid8basiskwa,,"Nolett-Ille, 1996, p.2",,
Ma petite amie,NAD,Nid8baskwasis,,,,
Ma soeur/mon frère (terme employé lorsque le frère ou la soeur est du sexe opposé),NAD,Nid8pso,,"Laurent, 1884, p.21","Nolett-Ille, 1996, p.2",
Ici,Adv,Nidali,,,,
Animal domestique,NA,Nidazo,,"Laurent, 1884, p.41",,
Frère ou soeur aîné (plus vieux).,NAD,Nidokan,Nom;Personne,"Laurent, 1884, p.23",,
Alors,Particule,Niga,,"Nolett-Ille, 1996, p.2",,
Ma mère,NAD,Nigawes,,"Laurent, 1884, p.20",,
Ces personnes ou choses (A) à distance,Pronom démonstratif,Nigik,,"Day, 1994, p.365",,
Ma soeur (terme employé par une femme uniquement),NAD,Nijakaso,,"Laurent, 1884, p.21",,
Mon frère (terme employé par un homme uniquement),NAD,Nijia,,"Laurent, 1884, p.21",,
Prophétie,NI,Nik8n8jemow8gan,Nom,"Day, 1994, p.367",,
"En avant, en avance dans le temps ou l'espace.",Particule,Nik8ni,,"Day, 1994, p.366",,
Devant (temps ou espace),Adv,Nik8niwi,,"Laurent, 1884, p.88",,
Ceux qui viennent avant nous,VAI;1;s;présent,Nik8nk8goagik,,,,
Celui qui prédit le future,VAI;Participe,Nik8nwawizit,Nom;Personne,"Day, 1994, p.367",,
Maintenant,Adv,Nikw8bi,,"Laurent, 1884, p.101",,
Désormais,,Nikw8biwji,,"Nolett-Ille, 1996, p.13",,
Cuisse,NI,Nikwkwa,,"Wz8khilain, 1830, p.49","Nolett-Ille, 1996, p.20",
Ma langue (l'organe),NID,Nilalo,,"Nolett-Ille, 1996, p.27",,
Ma luette,NID,Nilalois,Nom;Corps,"Day, 1994, p.237",,
Ma belle soeur ou mon beau frère.,NAD,Nilem,Nom;Personne,"Laurent, 1884, p.23",,
Mon nombril,NID,Nili,Nom;Corps,"Day, 1994, p.237",,
Ces choses (I) là (éloigné).,Pronom démonstratif,Nilil,Pronom,"Laurent, 1884, p.93",,
Fourchette,NI,Nimatgwahigan,,"Wz8khilain, 1830, p.64",,
Quelqu’un va chercher quelquechose (I),VTI isc,Nimsk8zik,,"Laurent, 1884, p.187",,
Va chercher quelquechose (I),VTI;2;s;Impératif,Nimska,,"Laurent, 1884, p.187",,
Allez chercher quelquechose (I),VTI;2;p;Impératif,Nimskamogw,,"Laurent, 1884, p.187",,
Allez chercher quelqu’un ou quelquechose (A),VTA;2;p;Impératif,Nimskaw8gw,,"Laurent, 1884, p.187",,
Quelqu’un va chercher quelqu’un ou quelquechose (A),VTA isc,Nimskaw8mek,,"Laurent, 1884, p.187",,
Va chercher quelqu’un ou quelquechose (A),VTA;2;s;impératif,Nimskawa,,"Laurent, 1884, p.187",,
Alors,,Ninawa,,"Nolett-Ille, 1996, p.2",,
Alors,,Nioji,,"Nolett-Ille, 1996, p.2",,
Nous (exclusif),PP,Niona,,"Wz8khilain, 1830, p.83",,
Nous-même (exclusif),Pronom personnel,Nionatta,,"Wz8khilain, 1830, p.84",,
Deux (chiffre),Numéral,Nis,Numéral,"Laurent, 1884, p.73",,
Deuxième,,Nis akw8btak,,"Laurent, 1884, p.83",,
Douze (nombre),Numéral,Nis8kaw,Numéral,"Laurent, 1884, p.74",,
Mardi,NI,Nisda alokan,,"Laurent, 1884, p.19",,
Mardi,NI,Nisdasanda,,"Nolett-Ille, ???, p.140",,
Deux années qui passent,VII,Nisigaden,,"Nolett-Ille, 1996, p.2",,
Vingt (nombre),Numéral,Nisinska,Numéral,"Laurent, 1884, p.74",,
Vingt et un (nombre),Numéral,Nisinska taba pazokw,Numéral,"Laurent, 1884, p.74",,
Deux (objets inanimés),Adjectif numéral cardinal inanimé,Nisnol,,,,
Deux (objets animés),Adjectif numéral cardinal animé,Niswak,,,,
Mon époux/mon épouse,NAD,Niswiakw,,"Laurent, 1884, p.21",,
Immédiatement,Adv,Nitta,,"Laurent, 1884, p.87",,
Divinité,NI,Niwaskow8gan,,"Laurent, 1884, p.13",,
Esprit,NA,Niwaskw,,"Laurent, 1884, p.13",,
Mon nez,NID,Nj8l,Nom;Corps,"Wz8khilain, 1830, p.48",,
Mon muscle,NID,Njat,,"Wz8khilain, 1830, p.48",,
Ma Jambe,NID,Nk8t,Nom;Corps,"Rasles & Pickering, 1831, p.468",,
Espoir/Espérance,NI,Nkawatzow8gan,,"Day, 1994, p.370",,
Mon ongle,NA,Nkaz,,"Nolett-Ille, 1996, p.34",,
Mon genou,NID,Nkedekw,Nom;Corps,"Laurent, 1884, p.25",,
Mon coude,NID,Nkeskwan,Nom;Corps,"Laurent, 1884, p.25",,
"Ça tombe, Ça descend.",VII;3;s;présent,Nkihla,Verbe,"Laurent, 1884, p.103",,
Gorge,NID,Nkwed8gan,,"Laurent, 1884, p.98",,
Intestin,NID,Nlagzi,,"Wz8khilain, 1830, p.49",,
Mon coeur,NID,Nlaw8gan,,"Laurent, 1884, p.25",,
Trois (objets animés),Adjectif numéral cardinal animé,Nlhoak,,"Laurent, 1884, p.92",,
Mes sourcils,NAD,Nm8m8n,,"Rasles, 1831, p.419",,
Mon grand-père,NAD,Nmahom,,"Laurent, 1884, p.20",,
Ma soeur aînée,NAD,Nmesis,,"Laurent, 1884, p.92",,
Mon père,NAD,Nmit8gwes,,"Laurent, 1884, p.20",,
Mon défunt père,NAD,Nmit8gwesga,,"Laurent, 1884, p.122",,
Mon fils,NAD,Nnam8n,,"Nolett-Ille, 1996, p.20",,
Mon enfant,NAD,Nnij8n,,"Day, 1994, p.237",,
Ma maman,NA,Nnonon,,"Masta, 1932, p.58",,
Ma tante maternelle,NA,Nnononis,,"Masta, 1932, p.58",,
Moins,,Nod8,,"Masta, 1932, p.66",,
Musicien,NA,Nod8baktahigat,,"Day, 1994, p.372",,
Violoneux,VAI;Participe,Nod8baktahigat,Nom;Personne,"Laurent, 1884, p.34",,
Pêcheur,VAI;Participe,Nod8mat,,"Wz8khilain, 1830, p.53",,
Boulanger,NA;VAI;Participe,Nodab8nkat,,"Wz8khilain, 1830, p.59",,
Cuisinier,VAI;Participe,Nodadbokwat,,"Nolett-Ille, 1996, p.12",,
Forge,NI,Nodahlagokaigamikw,Nom;Lieu,"Laurent, 1884, p.40",,
Un navigateur (à la voile); celui qui navigue.,VAI;Participe,Nodaksit,Verbe,"Day, 1994, p.371",,
Domestique,NA,Nodalokat,,"Laurent, 1884, p.70",,
Sculpteur de cuillère,NI,Nodamkw8nkat,,"Wz8khilain, 1830, p.59",,
Tailleur de roche,NA,Nodapskaigat,,"Laurent, 1884, p. 34",,
Maçon,NA,Nodapskenigat,,"Laurent, 1884, p. 34",,
Fermier,NA,Nodkikad,,"Nolett-Ille, 1996, p.19",,
Bûcheron,VAI;Participe,Nodkwahit,Nom;Personne,"Laurent, 1884, p.34",,
Hôpital (maison du chirurgien),NI,Nods8gwatigamikw,Nom;Lieu,"Laurent, 1884, p.41",,
Boucher,VAI;3;s;Présent;Participe,Nodtah8t,Nom;Personne,"Laurent, 1884, p.203",,
Meunier,NA,Nodtahasit,,"Wz8khilain, 1830, p.59","Traditonnellement, médecin.",
Fabricant de canots.,Participe,Nodtolid,Nom;Personne,"Day, 1994, p.373",,
Quelqu'un qui fait quelquechose par profession.,Particule,Noji,,"Day, 1994, p.LVI",,
Pharmacien,NA,Noji nbizonhowad,,"Laurent, 1884, p.170",,
Sellier-harnacheur,VAI;Participe,Noji-asesw8bikat,Nom;Personne,"Laurent, 1884, p.34",,
Armurier,VAI;Participe,Noji-paskhiganikat,Nom;Personne,"Laurent, 1884, p.34",,
Couturier,VAI;Participe,Nojikz8wat,Nom;Personne,"Laurent, 1884, p.34",,
Quelquechose (I) est faible.,VII;3;s;présent,Nojmigen,,"Day, 1994, p.374",,
Il touche quelquechose (I),VTIi,Nojokam,,"Day, 1994, p.375",,
Il touche quelquechose (I),VTIi,Nojokawa,,"Day, 1994, p.375",,
Juin,NA,Nokahigas,,"Wz8khilain, 1830, p.89",,
Morue,NA,Nokamagw,,"Laurent, 1884, p.39",,
Herse,NI,Nokapodigan,,"Nolett-Ille, ???, p.119",,
Pierre tendre,NI,Nokapskw,,"Wz8khilain, 1830, p.46",,
"Ma tante du côté de mon père; Ma tante, la femme d'un frère de ma mère.",NAD,Nokem,,"Masta, 1932, p.58","Laurent, 1884, p.63",
Ma tante du côté de ma mère. Ma belle mère.,NAD,Nokemis,Nom;Personne,"Laurent, 1884, p.22",,
Farine,NI,Nokhigan,,"Wz8khilain, 1830, p.53",,
"Mou,Doux",Adj,Noki,,"Laurent, 1884, p.65",,
Ce (I) qui est mou.,Adj,Nokigek,,"Laurent, 1884, p.67",,
Quelquechose (I) est mou.,VII;G,Nokigen,,,,
Ce (A) ou celui qui est mou.,Adj,Nokigit,,"Laurent, 1884, p.67",,
Ma grand-mère,NAD,Nokmes,,"Laurent, 1884, p.20","Nolett-Ille, 1996, p.9",
Neuf (chiffre),Numéral,Noliwi,Numéral,"Laurent, 1884, p.74",,
Cerf de virginie,NA,Nolka,,"Wz8khilain, 1830, p.46",,
La somnolence,NI,Nolmekwsow8gan,,"Laurent, 1884, p.23",,
Un éclaireur,NA,Nopawsawinno,Nom;Personne,"Day, 1994, p.379",,
Loin,Adv,Nopaïwi,,"Laurent, 1884, p.86",,
Mon petit-fils/petite-fille,NAD,Noses,,"Laurent, 1884, p.21",,
Quelqu'un suit quelquechose (I) pour quelqu'un,VTI isc,Nosokamaw8mek,,"Day, 1994, p.380",,
En haut,Adv,Nospiwi,,"Day, 1994, 381","Wz8khilain, 1830, p.38",
Hôpital,NI,Notch8gwaigamikw,,"Laurent, 1884, p.41",,
Cordonnier,NA,Notkezenikat,,"Wz8khilain, 1830, p.59",,
Fermier,NA,Notkikad,,"Masta, 1932, p.92",,
Fermier,NA,Notkikat,,"Wz8khilain, 1830, p.53",,
Mon poumon,NAD,Npan,,"Wz8khilain, 1830, p.49",,
Mon bras,NID,Npedin,Nom;Corps,"Laurent, 1884, p.25",,
Succotash (met autochtone),NA,Ns8b8n,Nom;Nourriture,"Wz8khilain, 1830, p.46","Nolett-Ille, 1996, p.11",
Huit (chiffre),Numéral,Ns8zek,Numéral,"Laurent, 1884, p.74",,
Couteau,NA,Nsakwakw,,"Wz8khilain, 1830, p.46",,
Entre (entre deux objets),Adv,Nsawiwi,Adverbe,"Laurent, 1884, p.47",,
Mon œil ou mon visage,NID,Nsizekw,Nom;Corps,"Wz8khilain, 1830, p.48",,
Mon front,NAD,Nskatgwa,,"Wz8khilain, 1830, p.48",,
Avec,Préposition,Nspiwi,,"Nolett-Ille, 1996, p.4",,
Mon oreille,NID,Ntawakw,Nom;Corps,"Wz8khilain, 1830, p.48",,
Mon oncle maternel,NAD,Nzasis,,"Masta, 1932, p.58",,
Mon pied,NID,Nzit,Nom;Corps,"Laurent, 1884, p.25",,
Village,NI,Odana,Nom;Lieu,"Laurent, 1884, p.89",,
Petit village,NI,Odanasis,Nom;Lieu,Charland,,
Mouche,NA,Ojawas,,"Wz8khilain, 1830, p.53",,
Asticot,NA,Okwa,Nom;Animal;Insect,"Day, 1994, p.399",,
Bateau,NI,Ol,Nom;Objet,"Laurent, 1884, p.14",,
Ciel bleu,,Ol8wkw,,"Wz8khilain, 1830, p.46","Masta, 1932, p.56",
Ciel dégagé,,Ol8wkw,,"Wz8khilain, 1830, p.46",,
Bateau,NI,Olagw,Nom;Objet,"Day, 1994, p.399",,
Fourrure,NI,Oswadagen,Nom;Objet,"Day, 1994, p.469",,
Quelquechose (I) est poilu.,VII;G,Oswigen,,,,
Casque de poil,NI,Oswikask,Nom;Objet;Vêtement,Charland,,
Chapeau de fourrure,NI,Owsikask,,???,http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Tourbière,NI,P8bakw;P8bagw,,"Wz8khilain, 1830, p.44",,
La Toussaint,VTA recip isc,P8batamawawdimek,Verbe,"Laurent, 1884, p.56",,
Religion,NA,P8batamw8gan,Nom,"Day, 1994, p.135",,
Personne qui prie (Chrétien),NA,P8batamwinno,,"Laurent, 1884, p.9",,
Une personne religieuse,NA,P8batamwinno,Nom,"Day, 1994, p.135",,
Mélèze,NA,P8bn8dageso,Nom;Plante;Arbre,"Laurent, 1884, p.33",,
Baleine,NA,P8daba,,"Wz8khilain, 1830, p.53",,
Une pipe en plâtre,NI,P8gan,Nom;Objet,"Day, 1994, p.440",,
Peu profond,,P8gwa,,"Wz8khilain, 1830, p.46","Masta, 1932, p.55",
Lune,NA,P8gwas,,"Wz8khilain, 1830, p.46",,
C’est le clair de lune,VII;3;s;présent,P8gwasen,Verbe,"Laurent, 1884, p.14",,
Pure,Adj,P8gwi,,"Laurent, 1884, p.65",,
Mange quelquechose de pure sans l'appréter.,VAI,P8gwipi,,"Day, 1994, p.440",,
Gauche,Adv,P8jiwi,Adverbe,"Laurent, 1884, p.95",,
Paon,NA,P8l8baïsips,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Rapides/Chutes,I ?,P8ntegw,,"Wz8khilain, 1830, p.46",,
Le plaisir,NI,P8w8wzow8gan,,"Wz8khilain, 1830, p.66",,
Au dessus de,Adv,P8zijiwi,,"Laurent, 1884, p.89",,
C'est une salutation pour une personne que l'on n'a pas vu depuis un certain temps.,VAI;1;s;Présent;Conjoint,Paakwin8gwzian,,"Laurent, 1884, p.116",,
Meilleur,Adv,Paamadowi,Adverbe,"Laurent, 1884, p.114",,
Plus,Adv,Paami,,"Masta, 1932, p.66",,
Environ,Particle,Pab8mi;Bab8mi,,"Day, 1994, p.62",,
Environ,Adverbe,Pab8miwi,,"Laurent, 1884, p.87",,
Grêle,NA,Pabadekw,Nom,"Laurent, 1884, p.17",,
"Un ancêtre, quelqu'un qui vient avant dans le temps.",VAI;participe,Pabajigwejit,Verbe,"Day, 1994, p.58",,
"Avec clareté, profondeur, perfection",Participe,Pabaki,,"Day, 1994, p.58",,
Chapeau,I?,Pabalhat,,"Wz8khilain, 1830, p.53",,
Moitié,Adv,Pabasiwi,Adverbe,"Laurent, 1884, p.103",,
Sangsue,NA,Pabaskw,,"Wz8khilain, 1830, p.46",,
Une balle (pour jouer),NI,Pabaskwham8gan,Nom;Objet,"Day, 1994, p.59",,
Puce,NA,Pabikw,,"Wz8khilain, 1830, p.46",,
Tonnerre,NA,Pad8gi,,"Laurent, 1884, p.105",,
Il tonne,VAI;3;s;Présent,Pad8gioo,,Charland,,
Patate,NA,Padates,Nom;Plante;Légume,"Wz8khilain, 1830, p.53",,
Bateau,NI,Pados,,"Laurent, 1884, p. 17",,
Noix,NI,Pag8n,Nom;Plante;Fruit,"Wz8khilain, 1830, p.46",,
Noisette,NI,Pag8nis,Nom;Plante;Fruit,"Laurent, 1884, p.31",,
Noyer cendré,NA,Pag8nozi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.59",,
Sang,NA,Pagakan,,"Wz8khilain, 1830, p.52",,
Marteau,NI,Pagam8gan,Nom;Objet,"Day, 1994, p.65",,
Caryer,NA,Pagimenakwam,Nom;Plante;Arbre,"Day, 1994, p.66","Wz8khilain, 1830, p.86",
Noyer noir,NA,Pagimizi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.59",,
"Iel arrive, iel se passe",VII,Pai8moo,,"Day, 1994, p.68",,
Au cas où,Conjonction,Pajitbihl8ga,,"Laurent, 1884, p.90",,
Un ciel clair,NI,Pakasokw,,"Day, 1994, p.69",,
Le ciel est clair,VII;3;s;présent,Pakasokwat,,"Day, 1994, p.69",,
Perdrix,NA,Pakeso,Nom;Animal;Oiseau,"Wz8khilain, 1830, p.53",,
"Mitchella repens, Pain-de-perdrix",NI,Pakeswimen,Nom;Plante,"Day, 1994, p.69",,
Similaire,,Paki,,"Wz8khilain, 1830, p.46","Laurent, 1884, p.61",
Boîte,NI,Paks,,"Wz8khilain, 1830, p.44",,
Télévision,VII,Paks kinamotlhoat,Nom;Objet,Charland,,
Flèche,NI,Pakwa,,"Wz8khilain, 1830, p.46",,
C’est sec,VII;3;s;présent,Pakwsatakizgat,,"Laurent, 1884, p.21",,
Epibolum angustifolium,NI,Palasinbizon,Nom;Plante,"Rousseau, 1947, p. 41",,
Ailleurs,Adv,Paliwi,,"Nolett-Ille, 1996, p.1",,
C’est cette semaine,VII,Pamalokamek,,"Laurent, 1884, p.116",,
Ce soir,"VII, Conjonction",Pamel8gwik,,"Laurent, 1884, p.110",,
Quand,Particule,Pami,,"Nolett-Ille,???, p.189",,
Pendant que quelqu'un pagaye.,VAI isc,Pamibiamek,Verbe,"Laurent, 1884, p.114",,
Cette année,VII,Pamigadek,,"Nolett-Ille, 1996, p.2",,
Dans les broussailles,,Pamipizagak,,"Laurent, 1884, p.40",,
Aujourd'hui,VII;3;s;présent,Pamkizgak,,"Laurent, 1884, p.110",,
Quand c’est le soir,VII;3;s;présent,Paml8gwik,,"Nolett-Ille, 1996, p.46",,
C’est cette semaine,VII,Pamsandak,,"Nolett-Ille, 1996, p.45",,
Clairière,,Pamskoda,,,,
Banane,NI,Pananas,Nom,"Day, 1994, p.77",,
Sanguinaire du Canada,NA,Papagakanilh8k,Nom;Plante,"Laurent, 1884, p.32",,
Quand iel (A) arrive.,VAI,Papai8da,,"Laurent, 1884, p.88",,
"Menthe, bonbon","NI, NA",Papalman,Nom;Objet,"Rousseau, 1947, p. 44",,
"Mitchella repens, Pain-de-perdrix",NI,Papatigwibagasiwi,Nom;Plante,"Rousseau, 1947, p. 44",,
Jouer,VAI,Papin,,"Wz8khilain, 1830, p.46",,
Jouet,NI,Papitomk8gan,,"Nolett-Ille, 1996, p.26",,
"Un avion, ce qui va tout seul",VII participe,Papizowilh8k,Nom;Objet,"Day, 1994, p.432",,
Une horloge,VII participe,Papizowkwazik,Nom;Objet,"Laurent, 1884, p.102",,
Armoire,NI,Papkwedan8zik,,"Nolett-Ille, 1996, p.3",,
Engoulevent bois-pourri (Antrostomus vociferus),NA,Papoles,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Il devient gonflé.,VAI;3;s;présent,Paposa,,"Day, 1994, p.81",,
Il devient gonflé.,VII;3;s;présent,Paposa,,"Day, 1994, p.81",,
Jeu,NI,Papow8gan,,"Nolett-Ille, 1996, p.25",,
Pin rouge,NA,Pasaakw,Nom;Plante;Arbre,"Laurent, 1884, p.32","Nolett-Ille, 1996, p.30",
Moulin à bois,NI,Pasakw8gan,Nom;Lieu,"Laurent, 1884, p.40",,
Fusil,NI,Paskhigan,,"Laurent, 1884, p.66",,
Midi,NA,Paskwa,,"Wz8khilain, 1830, p.44",,
Ce midi,,Paskwak,,"Laurent, 1884, p.101",,
Proche dans le temps et l'espace,Adv,Pasodawiwi,,"Laurent, 1884, p.89",,
Près,Adv,Pasojiwi,,"Laurent, 1884, p.89",,
Poudre à pâte ou levure,NI,Pasosakhigan,,"Day, 1994, p.81",,
États-Unis d’Amérique,NI,Pastonki,,"Laurent, 1884, p.53",,
Manteau (Paletot),NI,Pat8n,,???,"Nolett-Ille, 1996, p.48",
Parle pour rien dire,VAI,Pat8wa,,"Day, 1994, p.82",,
Tarte,NA,Pata,,"Wz8khilain, 1830, p.46",,
Patate,NA,Patades,Nom;Plante;Légume,"Laurent, 1884, p.30",,
Cornus canadensis - Quatre-Temps ou Cornouiller du Canada,NI,Patkilabagw,Nom;Plante;Arbre,"Rousseau, 1947, p. 42",,
Faire face à quelqu'un,Particule,Patkwa,,"Day, 1994, p.XXXII",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Bouton,NI,Patnes,,"Wz8khilain, 1830, p.46",,
Blessure (gore),A ?,Pato,,"Wz8khilain, 1830, p.46",,
Un (objets animés),Adjectif numéral cardinal animé,Pazgo,,"Laurent, 1884, p.89",,
Une fois,Numéral,Pazgweda,,"Laurent, 1884, p.79",,
Un (objets inanimés),Adjectif numéral cardinal inanimé,Pazgwen,,,,
Un (chiffre),Numéral,Pazokw,Numéral,"Laurent, 1884, p.73",,
Il arrive,,Païa,,"Wz8khilain, 1830, p.88",,
Ils arrivent,,Païak,,"Wz8khilain, 1830, p.88",,
Hiver prochain,VII,Pboga,,"Nolett-Ille, 1996, p. 24",,
Hiver,VII,Pbon,,"Nolett-Ille, 1996, p. 24",,
Hiver passé,VII,Pbona,,"Nolett-Ille, 1996, p. 24",,
Manteau d'hiver,NI,Pbonipitk8zon,Nom;Objet;Vêtement,"Day, 1994, p.84",,
En hiver,Adv,Pboniwi,,"Nolett-Ille, 1996, p. 24",,
Décembre,NA,Pbonkas,,"Wz8khilain, 1830, p.89",,
Nord,NI,Pbonki,,"Day, 1994, p.46",,
Ours polaire,NA,Pbonkiawasos,,"Day, 1994, p.439",,
Corbeau,NA,Pbonkimkazas,,"Day, 1994, p.439",,
Quelqu’un revient à pied.,VTA,Pedgosamek,,"Masta, 1932, p.76",,
Rouleau,NI,Pedgwakwam,Nom;Objet,Charland,,
Il y a une tornade,VII;3;s;présent,Pedgwel8msen,Verbe,"Laurent, 1884, p.35",,
De la gomme,NA,Pego,,"Laurent, 1884, p.10",,
Moustique/Mouche noire/Brulot,NA,Pegwes;Pegwis;Peguis,,"Wz8khilain, 1830, p.44",,
Quelqu'un envoie quelqu'un ou quelquechose (A),VTA isc,Pejidakamek,Verbe,"Laurent, 1884, p.192",,
Fumée,NI,Pekeda,,"Laurent, 1884, p.16",,
Pigeon,NA,Pelaz,Nom;Animal;Oiseau,"Wz8khilain, 1830, p.45",,
Graisse,NI,Pemi,,"Wz8khilain, 1830, p.46",,
Voyage,NI,Pemkannow8gan,,"Nolett-Ille, 1996, p.52",,
Clôture,NI,Pemlodigan,,"Laurent, 1884, p.89",,
Traverse de clôture,NI,Pemlodiganakwam,,"Day, 1994, p.93",,
Ciboule,NA,Pepapen,Nom;Plante;Légume,"Aubéry, 1715, p.116",,
Brume,NI,Pesagawan,,"Laurent, 1884, p.104",,
Brume,NI,Pesgawan,,"Nolett-Ille, 1996, p.7",,
Gadelle,NI,Pesimen,,"Wz8khilain, 1830, p.58",,
Gadelle,NI,Pesimen,Nom;Plante;Fruit,"Laurent, 1884, p.31",,
Sac à outil,NI,Pesnoda,,"Wz8khilain, 1830, p.50",,
Poudre (à canon),NI,Peza,,"Laurent, 1884, p.61",,
Lynx,NA,Pezo,,"Wz8khilain, 1830, p.46",,
Femme,NA,Phanem,,"Laurent, 1884, p.10",,
Robe,NI,Phanemipitk8zon,Nom;Objet;Vêtement,"Laurent, 1884, p.27",,
Février,,Pia8dagos,,"Wz8khilain, 1830, p.89",,
Poil,NI,Piaso,,"Aubéry, 1715, p.406",,
Eau vaseuse,NI,Pibganbi,Nom,"Laurent, 1884, p.15",,
Pêchier,NA,Picesakwam,Nom;Plante;Arbre,"Day, 1994, p.107",,
Entrée (de bâtiment ou de cours d’eau),NI,Pidhigan,,"Day, 1994, p.108",,
Entre quelquechose (I),VTI;2;s;impératif,Pidigado,,"Laurent, 1884, p.116","Nolett-Ille, 1996, p.11",
Entrée,NI,Pidigalzow8gan,Nom;Maison,"Day, 1994, p.109",,
Cochon,NA,Pigs,,"Wz8khilain, 1830, p.44",,
Bois pourris (spunk),NI,Pigweskw,,"Wz8khilain, 1830, p.46","Laurent, 1884, p.61",
Corde,NI,Pihan;Pian;Pik8n,,"Wz8khilain, 1830, p.44",,
Cochon,NA,Piks,,"Laurent, 1884, p.35",,
Papier,NI,Pilaskw,,"Wz8khilain, 1830, p.46",,
Billet de banque,NI,Pilaskwim8ni,,"Laurent, 1884, p.69",,
Nouveau,,Pildowi,,"Laurent, 1884, p.65",,
Nouveau,,Pili,,"Laurent, 1884, p.65",,
Nouvelle terre,I ?,Pilki,,"Wz8khilain, 1830, p.46","Nolett-Ille, 1996, p.17",
Érable à giguère,NA,Pilkimizi,Nom;Plante;Arbre,"Day, 1994, p.114",,
Perruque,NI,Pilw8ntegw,Nom;Object,"Laurent, 1884, p.26",,
Différent,,Pilwi,,"Wz8khilain, 1830, p.46",,
Nouvelle année,,Pilwigaden,,,,
Épingle,NA,Pins,,"Wz8khilain, 1830, p.44",,
Mirroir,I?,Pipinawjakw8gan,,"Laurent, 1884, p.27","Masta, 1932, p.55",
,,Pipsawas,,,,
Saccoche,NI,Pit8gan,Nom;Objet;Vêtement,???,"Nolett-Ille, 1996, p.29",
Cougar,NA,Pit8lo,,"Laurent, 1884, p.35",,
Beaucoup,,Pita,,"Wz8khilain, 1830, p.46",,
Mousse/Écume,,Pitah,,"Wz8khilain, 1830, p.46",,
Manteau,NI,Pitk8zon,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.54",,
Ce (I) qui est petit.,Adj,Piwesek,,"Laurent, 1884, p.67","Nolett-Ille, 1996, p.38",
Petit,,Piwi,,"Nolett-Ille, 1996, p.37",,
Quelquechose (I) est petit.,VII,Piwsa,,"Wz8khilain, 1830, p.52","Nolett-Ille, 1996, p.35",
Celui ou ce [A] qui est petit.,Adi,Piwsesit,,"Laurent, 1884, p.67",,
Pois (un),NI,Piz,,"Wz8khilain, 1830, p.44",,
"Ce (I) qui est futile, bon à rien.",Adj,Pizwadoik,,"Laurent, 1884, p.68",,
"Quelqu'un, ce (A) qui est futile, bon à rien.",Adj,Pizwadoit,,"Laurent, 1884, p.68",,
"Futile, bon à rien",,Pizwi,,"Laurent, 1884, p.65",,
Écorce,I ?,Pkwah8,,"Wz8khilain, 1830, p.46","Nolett-Ille, 1996, p.10",
Ciseau à bois,,Pkwamhigan,,"Wz8khilain, 1830, p.51",,
Glace (de la),NA,Pkwami,,"Wz8khilain, 1830, p.46",,
Pain (plat cuit sur de la braise),NA,Pkwazigan,,"Wz8khilain, 1830, p.54",,
Clé,NI,Pkwesagahigan,,"Wz8khilain, 1830, p.64",,
Français,NA,Plachm8n,,"Laurent, 1884, p.53",,
La langue française,NI,Plachm8n8dwaw8gan,,"Nolett-Ille, 1996, p.27","Laurent, 1884, p.26",
France,NI,Plachm8nki,,"Laurent, 1884, p.53",,
Écureuil volant,NA,Planikw;Planigw,,"Wz8khilain, 1830, p.44",,
Pigeon/Tourte,NA,Plaz,,"Wz8khilain, 1830, p.50","Nolett-Ille, 1996, p.37",
