French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Écrivez quelquechose (I),VTI,Awikhamokw,,"Laurent, 1884, p.182",,
Écris,VAI,Awikhiga,,"Laurent, 1884, p.182",,
Écrivez,VAI,Awikhigakw,,"Laurent, 1884, p.182",,
Quelqu'un écrit,VAI isc,Awikhigamek,,"Laurent, 1884, p.182",,
Livre,NI,Awikhigan,,"Laurent, 1884, p.61","Nolett-Ille, 1996, p.16",
Encre,NI,Awikhiganebi,,"Laurent, 1884, p.45",,
Crayon,NI,Awikhiganigan,Nom;Objet,"Day, 1994, p.50",,
Écrivez quelquechose (A),VTA,Awikhokw,,"Laurent, 1884, p.182",,
Moelle (d'arbre),NI,Awip,,"Wz8khilain, 1830, p.45",,
Quelqu'un déplace quelqu'un ou quelquechose (A),VTA,Awsk8n8mek,,"Laurent, 1884, p.182",,
Quelqu'un déplace quelquechose (I),VTI,Awsk8n8zik,,"Laurent, 1884, p.182",,
Déplace quelqu'un ou quelquechose (A),VTA,Awsk8na,,"Laurent, 1884, p.182",,
Déplace quelquechose (I),VTI,Awsk8na,,"Laurent, 1884, p.182",,
Déplacez quelquechose (I),VTI,Awsk8nemogw,,"Laurent, 1884, p.182",,
Trouble quelqu'un ou quelquechose (A),VTA,Awsk8nka,,"Laurent, 1884, p.183",,
Troublez quelqu'un ou quelquechose (A),VTA,Awsk8nkagw,,"Laurent, 1884, p.183",,
Quelqu'un trouble quelqu'un ou quelquechose (A),VTA,Awsk8nkamek,,"Laurent, 1884, p.183",,
Déplacez quelqu'un ou quelquechose (A),VTA,Awsk8nogw,,"Laurent, 1884, p.182",,
"Thé du Labrador, Rhododendron groenlandicum",NA,Az8bakw,Nom;Plante,"Rousseau, 1947, p. 43",,
Prune,NA,Azawanimen,Nom;Plante;Fruit,"Laurent, 1884, p.62",,
Prunier,NA,Azawanimenakwam,Nom;Plante;Arbre,"Laurent, 1884, p.31",,
Chaque,Pronom,Azi,,"Day, 1994, p. 53","Nolett-Ille, 1996, p.32",
Mouton,NA,Azib,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.45;Laurent, 1884, p.69",,
Agneau,NA,Azibis,Nom;Animal;Mammifère,"Laurent, 1884, p.35",,
Chaque (forme insistante),Pronom,Azita,,"Day, 1994, p. 54","Nolett-Ille, 1996, p.44",
Taureau,NA,Aï8ba,Nom;Animal;Mammifère,"Nolett-Ille, 1996, p.48",,
Église (la batisse),NI,Aïamihawigamikw,Nom;Lieu,"Laurent, 1884, p.89",,
Brandy (boisson),NI,Blandi,Nom,"Laurent, 1884, p.30",,
Criquet/Sauterelle,NA,Ch8ls,Nom;Animal;Insecte,"Wz8khilain, 1830, p.44",,
Maintenant,Adv,Cha,,"Laurent, 1884, p.117",,
Quelquechose (I) est tacheté.,VII;G,Chachakigen,,,,
Hoquet,NI,Chachapsolow8gan,Nom,"Laurent, 1884, p.23",,
Le hoquet,NI,Chachapsolow8gan,,"Laurent, 1884, p.23",,
Maintenant,,Chaga,,"Wz8khilain, 1830, p.44",,
Si,Conjonction,Chaga,,"Laurent, 1884, p.89",,
À moins que,Conjonction,Chaga nda,,"Laurent, 1884, p.90","Nolett-Ille, 1996, p.30",
Matin (le),VII;3;s;présent,Chakwa,,"Wz8khilain, 1830, p.44",,
Matin (ce),VII;3;s;présent,Chakwak,,"Laurent, 1884, p.101",,
Lumière du jour,VII;3;s;présent,Chakwat,,"Wz8khilain, 1830, p.44",,
"Jongleur, clown, homme masqué",NA,Chamocha,,"Laurent, 1884, p.209",,
Quelqu'un arrête quelqu’un ou quelquechose (A).,VTA isc,Chann8mek,,"Laurent, 1884, p.183",,
Arrêt,,Channa,,,,
Arrête quelqu’un ou quelquechose (A).,VTA;2;s;impératif,Channa,,"Laurent, 1884, p.183",,
Arrête quelquechose (I).,VTI;2;s;impératif,Channa,,"Laurent, 1884, p.183","Nolett-Ille, 1996, p.32",
Navet,NA,Channaps,,"Wz8khilain, 1830, p.44",,
Arrêtez quelquechose (I).,VTI;2;p;impératif,Channemogw,,"Laurent, 1884, p.183",,
Arrêtez quelqu’un ou quelquechose (A).,VTA;2;p;impératif,Channogw,,"Laurent, 1884, p.183",,
Quelqu'un arrête quelquechose (I).,VTI isc,Channozik,,"Laurent, 1884, p.183",,
Arrête.,VAI;2;s;impératif,Chanosa,,"Laurent, 1884, p.183",,
Arrêtez.,VAI;2;p;impératif,Chanosagw,,"Laurent, 1884, p.183",,
Quelqu'un arrête.,VAI isc,Chanosamek,,"Laurent, 1884, p.183",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
"Séparé, À côté",,Chbiwi;Chebiwi,,"Wz8khilain, 1830, p.44",,
